timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1597332186178,10,Debug Sampler,200,OK,RandomValues 1-1,text,true,,408,0,1,3,null,0,0,0
1597332186190,1,Intensivity,200,OK,clearGuestbookHistory 3-1,text,true,,402,0,1,2,null,0,0,0
1597332186191,0,Intensivity,200,OK,sendComment 2-1,text,true,,410,0,1,2,null,0,0,0
1597332186380,71,Open_Site-1,200,,clearGuestbookHistory 3-1,text,true,,22653,356,1,2,http://localhost:8080/,68,0,48
1597332186380,71,Open_Site,200,,sendComment 2-1,text,true,,22653,356,1,2,http://localhost:8080/,68,0,48
1597332186191,71,Open_Site,200,"Number of samples in transaction : 1, number of failing samples : 0",clearGuestbookHistory 3-1,,true,,22653,356,1,2,null,68,201,48
1597332186463,4,Open_GuestBook-62,200,,clearGuestbookHistory 3-1,text,true,,4112,403,1,2,http://localhost:8080/guestbook.html,4,0,0
1597332186462,5,Open_Clients,200,,sendComment 2-1,text,true,,6135,415,1,2,http://localhost:8080/clients.html,5,0,0
1597332186470,11,Open_GuestBook-66,200,,clearGuestbookHistory 3-1,text,true,,1018,319,1,2,http://localhost:8080/service/guestbook,11,0,0
1597332186463,15,Open_GuestBook,200,"Number of samples in transaction : 2, number of failing samples : 0",clearGuestbookHistory 3-1,,true,,5130,722,1,2,null,15,4,0
1597332186474,36,Guest_Book,200,,sendComment 2-1,text,true,,1018,319,1,2,http://localhost:8080/service/guestbook,36,0,0
1597332186511,3,Guest_Book-192,200,,sendComment 2-1,text,true,,4112,403,1,2,http://localhost:8080/guestbook.html,2,0,0
1597332186515,11,Send_Comment-199,200,,sendComment 2-1,text,true,,274,634,1,2,http://localhost:8080/service/guestbook,11,0,0
1597332186527,3,Send_Comment-200,200,,sendComment 2-1,text,true,,1098,319,1,2,http://localhost:8080/service/guestbook,3,0,0
1597332186531,11,CheckComment,200,,sendComment 2-1,text,true,,1098,136,1,2,http://localhost:8080/service/guestbook,11,0,0
1597332186680,0,Intensivity,200,OK,sendComment 2-2,text,true,,412,0,2,3,null,0,0,0
1597332186683,4,Open_Site,200,,sendComment 2-2,text,true,,22653,356,2,3,http://localhost:8080/,3,0,1
1597332186688,2,Open_Clients,200,,sendComment 2-2,text,true,,6135,415,2,3,http://localhost:8080/clients.html,2,0,0
