timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1597146188094,4393,localhost CPU user,,,,,true,,0,0,0,0,null,0,0,0
1597146188095,76824,localhost Memory usedperc,,,,,true,,0,0,0,0,null,0,0,0
1597146188095,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1597146189100,5450,localhost CPU user,,,,,true,,0,0,0,0,null,0,0,0
1597146189100,76822,localhost Memory usedperc,,,,,true,,0,0,0,0,null,0,0,0
1597146189100,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1597146190114,4233,localhost CPU user,,,,,true,,0,0,0,0,null,0,0,0
1597146190114,76817,localhost Memory usedperc,,,,,true,,0,0,0,0,null,0,0,0
1597146190114,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1597146191119,3487,localhost CPU user,,,,,true,,0,0,0,0,null,0,0,0
1597146191119,76816,localhost Memory usedperc,,,,,true,,0,0,0,0,null,0,0,0
1597146191119,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1597146192128,5349,localhost CPU user,,,,,true,,0,0,0,0,null,0,0,0
1597146192128,76816,localhost Memory usedperc,,,,,true,,0,0,0,0,null,0,0,0
1597146192128,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1597146193132,5072,localhost CPU user,,,,,true,,0,0,0,0,null,0,0,0
1597146193132,76809,localhost Memory usedperc,,,,,true,,0,0,0,0,null,0,0,0
1597146193132,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1597146194146,7426,localhost CPU user,,,,,true,,0,0,0,0,null,0,0,0
1597146194147,76803,localhost Memory usedperc,,,,,true,,0,0,0,0,null,0,0,0
1597146194147,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1597146195162,6223,localhost CPU user,,,,,true,,0,0,0,0,null,0,0,0
1597146195162,76795,localhost Memory usedperc,,,,,true,,0,0,0,0,null,0,0,0
1597146195162,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1597146196163,7705,localhost CPU user,,,,,true,,0,0,0,0,null,0,0,0
1597146196163,76791,localhost Memory usedperc,,,,,true,,0,0,0,0,null,0,0,0
1597146196163,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1597146197169,6575,localhost CPU user,,,,,true,,0,0,0,0,null,0,0,0
1597146197169,76790,localhost Memory usedperc,,,,,true,,0,0,0,0,null,0,0,0
1597146197169,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1597146198173,5805,localhost CPU user,,,,,true,,0,0,0,0,null,0,0,0
1597146198173,76787,localhost Memory usedperc,,,,,true,,0,0,0,0,null,0,0,0
1597146198173,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1597146199177,8067,localhost CPU user,,,,,true,,0,0,0,0,null,0,0,0
1597146199177,76784,localhost Memory usedperc,,,,,true,,0,0,0,0,null,0,0,0
1597146199177,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1597146200183,9352,localhost CPU user,,,,,true,,0,0,0,0,null,0,0,0
1597146200183,76779,localhost Memory usedperc,,,,,true,,0,0,0,0,null,0,0,0
1597146200183,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1597146201196,8093,localhost CPU user,,,,,true,,0,0,0,0,null,0,0,0
1597146201196,76779,localhost Memory usedperc,,,,,true,,0,0,0,0,null,0,0,0
1597146201196,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1597146202200,7336,localhost CPU user,,,,,true,,0,0,0,0,null,0,0,0
1597146202200,76773,localhost Memory usedperc,,,,,true,,0,0,0,0,null,0,0,0
1597146202200,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1597146203205,9752,localhost CPU user,,,,,true,,0,0,0,0,null,0,0,0
1597146203205,76770,localhost Memory usedperc,,,,,true,,0,0,0,0,null,0,0,0
1597146203205,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1597146204209,5806,localhost CPU user,,,,,true,,0,0,0,0,null,0,0,0
1597146204209,76770,localhost Memory usedperc,,,,,true,,0,0,0,0,null,0,0,0
1597146204209,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1597146205210,6498,localhost CPU user,,,,,true,,0,0,0,0,null,0,0,0
1597146205210,76767,localhost Memory usedperc,,,,,true,,0,0,0,0,null,0,0,0
1597146205210,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1597146206212,6623,localhost CPU user,,,,,true,,0,0,0,0,null,0,0,0
1597146206212,76766,localhost Memory usedperc,,,,,true,,0,0,0,0,null,0,0,0
1597146206212,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1597146207215,4656,localhost CPU user,,,,,true,,0,0,0,0,null,0,0,0
1597146207215,76760,localhost Memory usedperc,,,,,true,,0,0,0,0,null,0,0,0
1597146207215,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1597146208218,11548,localhost CPU user,,,,,true,,0,0,0,0,null,0,0,0
1597146208218,76758,localhost Memory usedperc,,,,,true,,0,0,0,0,null,0,0,0
1597146208218,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1597146209223,10069,localhost CPU user,,,,,true,,0,0,0,0,null,0,0,0
1597146209223,76756,localhost Memory usedperc,,,,,true,,0,0,0,0,null,0,0,0
1597146209223,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1597146210225,6621,localhost CPU user,,,,,true,,0,0,0,0,null,0,0,0
1597146210225,76749,localhost Memory usedperc,,,,,true,,0,0,0,0,null,0,0,0
1597146210225,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1597146211239,5740,localhost CPU user,,,,,true,,0,0,0,0,null,0,0,0
1597146211239,76747,localhost Memory usedperc,,,,,true,,0,0,0,0,null,0,0,0
1597146211239,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1597146212253,6919,localhost CPU user,,,,,true,,0,0,0,0,null,0,0,0
1597146212253,76745,localhost Memory usedperc,,,,,true,,0,0,0,0,null,0,0,0
1597146212253,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1597146213255,6600,localhost CPU user,,,,,true,,0,0,0,0,null,0,0,0
1597146213255,76741,localhost Memory usedperc,,,,,true,,0,0,0,0,null,0,0,0
1597146213255,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1597146214258,10109,localhost CPU user,,,,,true,,0,0,0,0,null,0,0,0
1597146214258,76737,localhost Memory usedperc,,,,,true,,0,0,0,0,null,0,0,0
1597146214258,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1597146215266,18610,localhost CPU user,,,,,true,,0,0,0,0,null,0,0,0
1597146215266,76730,localhost Memory usedperc,,,,,true,,0,0,0,0,null,0,0,0
1597146215266,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1597146216281,10463,localhost CPU user,,,,,true,,0,0,0,0,null,0,0,0
1597146216281,76711,localhost Memory usedperc,,,,,true,,0,0,0,0,null,0,0,0
1597146216281,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1597146217286,9339,localhost CPU user,,,,,true,,0,0,0,0,null,0,0,0
1597146217286,76708,localhost Memory usedperc,,,,,true,,0,0,0,0,null,0,0,0
1597146217286,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1597146218299,10947,localhost CPU user,,,,,true,,0,0,0,0,null,0,0,0
1597146218299,76695,localhost Memory usedperc,,,,,true,,0,0,0,0,null,0,0,0
1597146218299,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1597146219304,9550,localhost CPU user,,,,,true,,0,0,0,0,null,0,0,0
1597146219304,76674,localhost Memory usedperc,,,,,true,,0,0,0,0,null,0,0,0
1597146219304,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1597146220304,17038,localhost CPU user,,,,,true,,0,0,0,0,null,0,0,0
1597146220304,76673,localhost Memory usedperc,,,,,true,,0,0,0,0,null,0,0,0
1597146220304,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1597146221319,12500,localhost CPU user,,,,,true,,0,0,0,0,null,0,0,0
1597146221320,76667,localhost Memory usedperc,,,,,true,,0,0,0,0,null,0,0,0
1597146221320,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1597146222336,14057,localhost CPU user,,,,,true,,0,0,0,0,null,0,0,0
1597146222337,76676,localhost Memory usedperc,,,,,true,,0,0,0,0,null,0,0,0
1597146222337,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1597146223341,13296,localhost CPU user,,,,,true,,0,0,0,0,null,0,0,0
1597146223341,76686,localhost Memory usedperc,,,,,true,,0,0,0,0,null,0,0,0
1597146223341,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1597146224348,18783,localhost CPU user,,,,,true,,0,0,0,0,null,0,0,0
1597146224348,76693,localhost Memory usedperc,,,,,true,,0,0,0,0,null,0,0,0
1597146224348,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1597146225364,13050,localhost CPU user,,,,,true,,0,0,0,0,null,0,0,0
1597146225364,76727,localhost Memory usedperc,,,,,true,,0,0,0,0,null,0,0,0
1597146225364,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1597146226367,14804,localhost CPU user,,,,,true,,0,0,0,0,null,0,0,0
1597146226368,76727,localhost Memory usedperc,,,,,true,,0,0,0,0,null,0,0,0
1597146226368,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1597146227379,13444,localhost CPU user,,,,,true,,0,0,0,0,null,0,0,0
1597146227393,76722,localhost Memory usedperc,,,,,true,,0,0,0,0,null,0,0,0
1597146227393,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1597146228398,12900,localhost CPU user,,,,,true,,0,0,0,0,null,0,0,0
1597146228407,76716,localhost Memory usedperc,,,,,true,,0,0,0,0,null,0,0,0
1597146228407,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1597146229418,10773,localhost CPU user,,,,,true,,0,0,0,0,null,0,0,0
1597146229418,76712,localhost Memory usedperc,,,,,true,,0,0,0,0,null,0,0,0
