timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1597146186360,0,Intensivity,200,OK,sendComment 2-1,text,true,,400,0,1,2,null,0,0,0
1597146186358,0,Debug Sampler,200,OK,RandomValues 1-1,text,true,,398,0,1,1,null,0,0,0
1597146186386,6,Open_Site,200,,sendComment 2-1,text,true,,22653,356,1,1,http://localhost:8080/,6,0,0
1597146186406,5,Open_Clients,200,,sendComment 2-1,text,true,,6135,415,1,1,http://localhost:8080/clients.html,5,0,0
1597146186424,38,Guest_Book,200,,sendComment 2-1,text,true,,48387,319,1,1,http://localhost:8080/service/guestbook,38,0,0
1597146186466,2,Guest_Book-192,200,,sendComment 2-1,text,true,,4112,403,1,1,http://localhost:8080/guestbook.html,2,0,0
1597146186479,1,Send_Comment-199,200,,sendComment 2-1,text,true,,274,566,1,1,http://localhost:8080/service/guestbook,1,0,0
1597146186481,18,Send_Comment-200,200,,sendComment 2-1,text,true,,48443,319,1,1,http://localhost:8080/service/guestbook,18,0,0
1597146186499,19,CheckComment,200,,sendComment 2-1,text,true,,48443,136,1,1,http://localhost:8080/service/guestbook,19,0,0
1597146186518,14,JDBC Request,200,OK,sendComment 2-1,text,true,,56401,0,1,1,null,12,0,11
1597146186360,103,Transaction Controller,200,"Number of samples in transaction : 9, number of failing samples : 0",sendComment 2-1,,true,,235248,2514,1,1,null,101,69,11
1597146186532,0,Intensivity,200,OK,sendComment 2-1,text,true,,522,0,1,1,null,0,0,0
1597146186532,2,Open_Site,200,,sendComment 2-1,text,true,,22653,356,1,1,http://localhost:8080/,2,0,0
1597146186534,1,Open_Clients,200,,sendComment 2-1,text,true,,6135,415,1,1,http://localhost:8080/clients.html,1,0,0
1597146186535,16,Guest_Book,200,,sendComment 2-1,text,true,,48443,319,1,1,http://localhost:8080/service/guestbook,16,0,0
1597146186551,1,Guest_Book-192,200,,sendComment 2-1,text,true,,4112,403,1,1,http://localhost:8080/guestbook.html,1,0,0
1597146186552,2,Send_Comment-199,200,,sendComment 2-1,text,true,,274,512,1,1,http://localhost:8080/service/guestbook,2,0,0
1597146186554,15,Send_Comment-200,200,,sendComment 2-1,text,true,,48484,319,1,1,http://localhost:8080/service/guestbook,15,0,0
1597146186569,15,CheckComment,200,,sendComment 2-1,text,true,,48484,136,1,1,http://localhost:8080/service/guestbook,14,0,0
1597146186584,2,JDBC Request,200,OK,sendComment 2-1,text,true,,56453,0,1,1,null,1,0,0
1597146186532,54,Transaction Controller,200,"Number of samples in transaction : 9, number of failing samples : 0",sendComment 2-1,,true,,235560,2460,1,1,null,52,1,0
1597146187098,0,Intensivity,200,OK,sendComment 2-1,text,true,,504,0,2,2,null,0,0,0
1597146187098,2,Open_Site,200,,sendComment 2-1,text,true,,22653,356,2,2,http://localhost:8080/,2,0,0
1597146187101,1,Open_Clients,200,,sendComment 2-1,text,true,,6135,415,2,2,http://localhost:8080/clients.html,1,0,0
1597146187102,18,Guest_Book,200,,sendComment 2-1,text,true,,48484,319,2,2,http://localhost:8080/service/guestbook,18,0,0
1597146187120,2,Guest_Book-192,200,,sendComment 2-1,text,true,,4112,403,2,2,http://localhost:8080/guestbook.html,2,0,0
1597146187122,6,Send_Comment-199,200,,sendComment 2-1,text,true,,274,581,2,2,http://localhost:8080/service/guestbook,6,0,0
1597146187128,16,Send_Comment-200,200,,sendComment 2-1,text,true,,48545,319,2,2,http://localhost:8080/service/guestbook,16,0,0
1597146187145,15,CheckComment,200,,sendComment 2-1,text,true,,48545,136,2,2,http://localhost:8080/service/guestbook,15,0,0
1597146187160,4,JDBC Request,200,OK,sendComment 2-1,text,true,,56525,0,2,2,null,1,0,1
1597146186587,64,Transaction Controller,200,"Number of samples in transaction : 9, number of failing samples : 0",sendComment 2-1,,true,,235777,2529,2,2,null,61,513,1
1597146187602,0,Intensivity,200,OK,sendComment 2-2,text,true,,421,0,2,2,null,0,0,0
1597146187603,5,Open_Site,200,,sendComment 2-2,text,true,,22653,356,2,2,http://localhost:8080/,5,0,1
1597146187608,2,Open_Clients,200,,sendComment 2-2,text,true,,6135,415,2,2,http://localhost:8080/clients.html,2,0,0
1597146187610,19,Guest_Book,200,,sendComment 2-2,text,true,,48545,319,2,2,http://localhost:8080/service/guestbook,19,0,0
1597146187630,1,Guest_Book-192,200,,sendComment 2-2,text,true,,4112,403,2,2,http://localhost:8080/guestbook.html,1,0,0
1597146187632,1,Send_Comment-199,200,,sendComment 2-2,text,true,,274,677,2,2,http://localhost:8080/service/guestbook,1,0,0
1597146187634,14,Send_Comment-200,200,,sendComment 2-2,text,true,,48640,319,2,2,http://localhost:8080/service/guestbook,14,0,0
1597146187649,14,CheckComment,200,,sendComment 2-2,text,true,,48640,136,2,2,http://localhost:8080/service/guestbook,14,0,0
1597146187664,12,JDBC Request,200,OK,sendComment 2-2,text,true,,56631,0,2,2,null,10,0,9
